episodio,desc,duracion_ms,id,imagen_url,fecha,episodio_url
198: Todos los viejos fachos que le gustan a tu mamá,"Si sale una remake hollywoodense de una película argentina tenemos que cubrirla. Y si es de 4x4, más todavía, claro. Vimos Locked (2025) de David Yarovesky, con Anthony Hopkins haciendo de Dady Brieva y Bill Skarsgård de Peter Lanzani. Por las dudas se entusiasmen de más: no, no hay camiseta de Boquita, pero casi.<3 <3 <3 www.hoytrasnoche.com  <3 <3 <3 ",4090279,3Tgcku6kSYebILpfBDGiNk,https://i.scdn.co/image/ab6765630000ba8af70cddee3073baa4c48827d8,2025-04-25,https://open.spotify.com/episode/3Tgcku6kSYebILpfBDGiNk
197: Trasnochadytos feat El Negro Martí y Pepo,"Vimos Una pelicula de Minecraft (A Minecraft Movie, 2025) de Jared Hess.Bueno, en realidad ""vimos, vimos"" no tanto: pero para esta gesta patriótica llamamos al querido Negro Martí y su bendición gamer Pepo.Sí, es un choque de mundos que no sabías que necesitaba.Y si todo esto te parece un lujo gratis, bien podrías pasar por hoytrasnoche.com y ponerla toda.",4773694,6bTGSv1j4KTO3bBTHdnVoD,https://i.scdn.co/image/ab6765630000ba8a0eff8923e56fd0521b1f1c32,2025-04-18,https://open.spotify.com/episode/6bTGSv1j4KTO3bBTHdnVoD
"196: Le gustan las noticias con títulos como ""El infartante colaless de la sobri de Pérez""","Vimos Magazine Dreams (2023) de Elijah Bynum, el postergadísimo tour de force de Jonathan Mayors (?)Y no contentos con eso, también hablamos de todo tipo de coyunturas que incluyen los coletazos de los aranceles de Trump en las películas, la situación judicial de Paul Schrader y alguna que otra cosita más.Podés dar una mano ¿sabías? Entrando en hoytrasnoche.com",4489351,4qHjFuhI9ctaxAiReSK0kH,https://i.scdn.co/image/ab6765630000ba8a6dd3a1c024cc39514bfb74ef,2025-04-11,https://open.spotify.com/episode/4qHjFuhI9ctaxAiReSK0kH
"195: Es como cuando Victor Laplace decía ""este es otro Perón""","Salió una nueva de A24. Sobre un músico misterioso y legendario rodeado de un supuesto culto. Protagonizada por Ayo Edebiri, Juliette Lewis y John Malkovich. Teníamos que verla. Es Opus (2025) de Mark Anthony Green. Como extras tenés un posible sabotaje a la nueva película de Paul Thomas Anderson y nuestro más sentido homenaje a Val Kilmer (incluye repaso de comedias de fines de los setenta, principios de los ochenta).Y recuerda, niño: hoytrasnoche.com.",4768679,08xdVwm3zEPBprHpdTmMDQ,https://i.scdn.co/image/ab6765630000ba8ad380809a42c8de5d8d6a3748,2025-04-04,https://open.spotify.com/episode/08xdVwm3zEPBprHpdTmMDQ
"Le decís y Liam Neeson te muestra el Mercado Pago y te dice ""mirá lo que es esto""","Una nueva semana, una nueva película. Calu y Flor vieron Holland (2025) de Mimi Cave, protagonizada por Nicole Kidman, Gael García Bernal y Tom de Succession. Discuten también sobre la diferencia entre actor de teatro y actor de cine, esto de que Disney trata de echarle la culpa de Blancanieves (Snow White, 2025) a una piba y más.<3 hoytrasnoche.com <3",4205949,1htVrLWbZnNoOmZQ9cXGlz,https://i.scdn.co/image/ab6765630000ba8a7e3ce082e094445885e76781,2025-03-28,https://open.spotify.com/episode/1htVrLWbZnNoOmZQ9cXGlz
193: (Redacted) sos una terrible (Redacted) y tu marido un terrible cornudo no te acordás cuando mi hermano te llenaba el (Redacted) de (Redacted),"Nos cruzamos con una película que nos convocó por su título sensual, su protagonista baitera y varias cosas más. La vimos. Salió esto. Se llama Borderline (2025) y es la primera dirigida por Jimmy Warden, el marido de Samara Weaving, su protagonista.Las cuestiones extras que han sido comentadas van desde en qué momento Miramax y los Weinstein pasaron a influir en los premios Oscar hasta un estudio que dice que la gente quiere más comedias y thrillers.Acordate que si te gustó, podés pasar por hoytrasnoche.com que hay más. Gracias. ",4023771,2vqZGf3aQu5DqGgm9qOs3s,https://i.scdn.co/image/ab6765630000ba8a48512f93cc6c8b4a56caf4f9,2025-03-21,https://open.spotify.com/episode/2vqZGf3aQu5DqGgm9qOs3s
192: Jamás toqué para los pelotudos que me vienen a ver,"Nos metimos con dos peliculas que se estrenaron para San Valentín (tan solo) un mes tarde: The Dead Thing (2024) de Elric Kane y Heart Eyes (2025) de Josh Ruben.¿Nos gusto alguna? ¿Ninguna? ¿Las dos? ¿Hubo coyuntura? ¿Quién mató realmente a Kennedy? Todas esas preguntas e incluso alguna que otra más se responden escuchando el episodio completo.Santiago Calori y Fiorella Sargenti hacen las veces de conductores de esto y si tenés ganas y dinero ocioso (?) podés hacerte super amigx nuestro entrando a hoytrasnoche.com, el OnlyFans que te da cosas a cambio en serio.",4677511,4zBiDL76BAwi0Z4OSGGj2v,https://i.scdn.co/image/ab6765630000ba8a2d5d696673c887ff2283735a,2025-03-14,https://open.spotify.com/episode/4zBiDL76BAwi0Z4OSGGj2v
"191: Si querés, todos los días hay un aniversario de James Bond","Pasaron los Oscar y todo volvió a una aparente normalidad. Tanto que ya estamos hablando de una nueva película de Steven Soderbergh: Presencia (Presence, 2024). POV: sos Casper. Algo así.En cuanto a coyuntura se charla un poco del crecimiento de Neon y su rivalidad o no con A24, la puja por los títulos con Netflix, Jeff Bezos dueño de Bond y alguna cosa más.¿Quiénes conducen? Santiago Calori y Fiorella Sargenti. ¿Qué hacer si esto te gustó? Hoytrasnoche.com",4163943,4xBJUiflAmVMgMxSlXzLsc,https://i.scdn.co/image/ab6765630000ba8a9a97fe0382d4c6206964fed8,2025-03-07,https://open.spotify.com/episode/4xBJUiflAmVMgMxSlXzLsc
190: El pianista es El brutalista quince días antes,"Llegó ese momento del año. Escándalos, análisis y, por sobre todas las cosas, PRODE de los Oscar.Sí, es un lujo. Sí, deberías ir y ponerla toda en hoytrasnoche.com",4217025,2A3bpHisztRMVLPRyLWvtm,https://i.scdn.co/image/ab6765630000ba8a6da15e759d2b6f35355a13d7,2025-02-28,https://open.spotify.com/episode/2A3bpHisztRMVLPRyLWvtm
189: Me hizo extrañar las hemorroides que tuve en diciembre,"Vino el Negro Martí y nos hicieron ver Capitán América: Un Nuevo Mundo (Captain America: Brave New World, 2024) de Julius Onah. De nada y perdón. Qué decirles.www.hoytrasnoche.com",3683604,3ghiRpO35vfQK72sq8yMYu,https://i.scdn.co/image/ab6765630000ba8ac07111d4e5dfb4e1728f6006,2025-02-21,https://open.spotify.com/episode/3ghiRpO35vfQK72sq8yMYu
188: Barbie activista levemente racializada,"Con Santiago Calori de vacaciones arrancamos con las estrellas invitadas. Hoy: Miki Lusardi. ¿La película? Un Completo Desconocido (A Complete Unknown, 2024) de James Mangold.Se habla mucho de Dylan y Joan Baez, claro, pero también de otras biopics de rock.No les vamos a mentir, también hay un poco del tema Oscar y Emilia Pérez pero sirve de excusa para charlar de musicales de todos los tiempos, entre otras cosas.Pasen, escuchen y si les gusta pueden pasar por hoytrasnoche.com.Gracias.",5389217,1GjDU2WjMhlPoO2FgAnyj2,https://i.scdn.co/image/ab6765630000ba8a355eeb1bcf74087019185922,2025-02-07,https://open.spotify.com/episode/1GjDU2WjMhlPoO2FgAnyj2
"187: Pocas cosas más confiables que ""una empresa de software ucraniana""","Llegó la despedida de Calo. Sí. En serio. Nah. No tan en serio, se nos va dos semanas nomás. En su honor apostamos todo a una comedia independiente algo experimental: Hundreds of Beavers (2022) de Mike Cheslik. Eso nos dio la excusa para hablar de slapstick, Chaplin, Looney Tunes, Buster Keaton y más.Coyuntura hay de sobra porque vuelan los carpetazos pre Oscar como nunca. Todos usaron inteligencia artificial, cancelaciones para acá y para allá, etc. En el medio de todo eso Criterion Channel programa cine negro argentino. Mi país, mi país.Si querés más de Santiago Calori y Fio Sargenti podés ponerla toda, poquita o casi en hoytrasnoche.com. Gracias.",4670641,1Hb7RAl6ZGkMhbqbbuo9Yo,https://i.scdn.co/image/ab6765630000ba8a083b3d7dba15526036164036,2025-01-31,https://open.spotify.com/episode/1Hb7RAl6ZGkMhbqbbuo9Yo
186: Es como si hubiéramos ido a un torneo de rol,"Lo hicimos por ustedes. Vimos My Argentine Heart (2025) de Terry Ingram. De Hallmark, para qué mentirles. Abril es una girlboss de raíces argentinas que debe volver al país de su padre para salvar el ""rancho"" familiar, donde se reencontrará con Diego, un viejo amor.  Qué sé yo, juramos que lo pidieron. Por favor ahora pasate por hoytrasnoche.com para que haya valido la pena. Gracias.  (Ah, también hablamos de las nominaciones de los Oscar y todo eso)",5513064,4PmdZvvikY4rgzJ667YiDI,https://i.scdn.co/image/ab6765630000ba8a0cd1adf6b36a0017a3ee746b,2025-01-24,https://open.spotify.com/episode/4PmdZvvikY4rgzJ667YiDI
185: El nenaso siente mucha seguridad cuando ve un musculoso sin remera,"Vimos Queer (2024) de Luca Guadagnino, porque ustedes lo pidieron. Hicimos esas coyunturas que ya se imaginan, porque ustedes lo pidieron.  Ahora, si querés que te pidamos nosotros, metete en hoytrasnoche.com y ponela todo. Fin del comunicado (?)",4214021,1zlD65CIHwwHE8PrAFSpRd,https://i.scdn.co/image/ab6765630000ba8a0e602d0d76c18159adcade83,2025-01-17,https://open.spotify.com/episode/1zlD65CIHwwHE8PrAFSpRd
184: Al que viene a pedir el subsidio lo buscás en IMDb,"Vimos Un Dolor Real (A Real Pain, 2024), la segunda película dirigida por Jesse Eisenberg, gracias a la que Kieran Culkin ganó en los Golden Globes el domingo pasado.  Ah, también nos sentimos en la obligación de charlar un poco más sobre Emilia Pérez, dado todo el bardito que viene armando en esta temporada de premios.  Hay más pero vas a tener que darle play para enterarte.  www.hoytrasnoche.com",4025626,6k7d6OrWqpKUrCQppzhsYA,https://i.scdn.co/image/ab6765630000ba8a64662c74037e51f94209100d,2025-01-10,https://open.spotify.com/episode/6k7d6OrWqpKUrCQppzhsYA
183: Te comprás la entrada para la de coger y el pochoclo es de Moana 2,"Primer episodio 2025 y Flor insiste con que Nosferatu es un fenómeno cultura. ¿Qué quiere decir esto? Vimos Babygirl (2024) de Halina Reijn y Nosferatu (2024) de Robert Eggers. Como se terminaron las listas con lo mejor del año chusmeamos algunos de los estrenos que se vienen en 2025. Justin Baldoni dice que Blake Lively entendió mal un emoji y Armie Hammer contó que anda bárbaro. Por ahí va la cosa, más o menos.   Si querés y podés: hoytrasnoche.com, un universo conducido por Santiago Calori y Fio Sargenti. ",5618834,5SncVqdiKhb4vK9pg3QEMz,https://i.scdn.co/image/ab6765630000ba8a8d1d78a2fc46b50c4db13a75,2025-01-03,https://open.spotify.com/episode/5SncVqdiKhb4vK9pg3QEMz
