pelicula,pelicula_año,episodio,link_letterboxd
Mantícora,2022,104: Le sacaste el riñón a uno que necesitaba el trasplante,https://letterboxd.com/film/manticore-2022/
Reality,2023,105: Un mondongo adentro de una pelota,https://letterboxd.com/film/reality-2023/
Master Gardener,2022,106: Con el CBU abierto,https://letterboxd.com/film/master-gardener/
Beau Is Afraid,2023,107: Tengo que hurgar un perro en Uruguay,https://letterboxd.com/film/beau-is-afraid/
BlackBerry,2023,El Show de Flor: Wes Anderson no quiere ver tu video de mierda,https://letterboxd.com/film/blackberry-2023/
Indiana Jones and the Dial of Destiny,2023,El Show de Flor: qué pingo será un dial,https://letterboxd.com/film/indiana-jones-and-the-dial-of-destiny/
"Are You There God? It's Me, Margaret.",2023,"El Show de Flor: Ella tosió, yo tosí y nadie rio",https://letterboxd.com/film/are-you-there-god-its-me-margaret/
Sanctuary,2022,"El Show de Flor: Ella tosió, yo tosí y nadie rio",https://letterboxd.com/film/sanctuary-2022/
Asteroid City,2023,El Show de Flor: Meando las puertas de Versalles,https://letterboxd.com/film/asteroid-city/
Oppenheimer,2023,108: Parece un video de Brazzers,https://letterboxd.com/film/oppenheimer-2023/
Barbie,2023,108: Parece un video de Brazzers,https://letterboxd.com/film/barbie/
Limbo,2023,109: El festival de los arruinaguacho,https://letterboxd.com/film/limbo-2023-1/
Sound of Freedom,2023,110: Ese es el problema de la democracia,https://letterboxd.com/film/sound-of-freedom/
Insidious: The Red Door,2023,110: Ese es el problema de la democracia,https://letterboxd.com/film/insidious-the-red-door/
Cruising,1980,111: Se fue un gran amigo,https://letterboxd.com/film/cruising/
Bama Rush,2023,112: Lars Von Trier es Gerardo Romano con talento,https://letterboxd.com/film/bama-rush/
Beyond Human Nature,2023,112: Lars Von Trier es Gerardo Romano con talento,https://letterboxd.com/film/beyond-human-nature/
Blue Beetle,2023,113: La que le sacó la nariz a Voldemort,https://letterboxd.com/film/blue-beetle/
Talk to Me,2022,114: Moyano o Mad Max,https://letterboxd.com/film/talk-to-me-2022/
Perpetrator,2023,115: Es como coger con alguien que trabaja en el Puerto de frutos,https://letterboxd.com/film/perpetrator/
El Conde,2023,116: Hay un hilo rojo entre vos y los copitos,https://letterboxd.com/film/el-conde/
Rotting in the Sun,2023,117: Te falta el vocoder y sos Magnetto,https://letterboxd.com/film/rotting-in-the-sun/
Expend4bles,2023,118: Si yo voy a ver esta película vos también,https://letterboxd.com/film/expend4bles/
Saw X,2023,119: Con el pelado de El Transportador,https://letterboxd.com/film/saw-x/
Good Boy,2022,120: La gente va a ver a Jason Fanacoa sin remera,https://letterboxd.com/film/good-boy-2022/
Killers of the Flower Moon,2023,121: Este es mi San Andreas,https://letterboxd.com/film/killers-of-the-flower-moon/
Anatomy of a Fall,2023,"122: No se va a electrocutar, ya sabe",https://letterboxd.com/film/anatomy-of-a-fall/
Five Nights at Freddy's,2023,123: Fresca como en esa esquina de Gesell,https://letterboxd.com/film/five-nights-at-freddys/
The Pigeon Tunnel,2023,123: Fresca como en esa esquina de Gesell,https://letterboxd.com/film/the-pigeon-tunnel/
Cuando acecha la maldad,2023,"124: Pan para hoy, agua para mañana",https://letterboxd.com/film/when-evil-lurks/
Suitable Flesh,2023,125: El ASMR de Julio Bárbaro,https://letterboxd.com/film/suitable-flesh/
Where the Devil Roams,2023,126: Yo ya lo puse en el mismo estante de Jared Leto,https://letterboxd.com/film/where-the-devil-roams/
Slotherhouse,2023,127: Necesitamos un debate más profundo sobre el rol de las franquicias en Hollywood,https://letterboxd.com/film/slotherhouse/
Manodrome,2023,127: Necesitamos un debate más profundo sobre el rol de las franquicias en Hollywood,https://letterboxd.com/film/manodrome/
The Holdovers,2023,127: Necesitamos un debate más profundo sobre el rol de las franquicias en Hollywood,https://letterboxd.com/film/the-holdovers/
Showing Up,2022,128: El podcast que habla de cine sin el celular en la mano,https://letterboxd.com/film/showing-up-2022/
There's Something in the Barn,2023,129: Qué podés spoilear de una película con un elfo malo,https://letterboxd.com/film/theres-something-in-the-barn/
Maestro,2023,130: Nunca se vio a un virgo cogerse a tanta gente en tan poco tiempo,https://letterboxd.com/film/maestro-2023/
Priscilla,2023,No llegó la merluza pero tengo Loretta Preska,https://letterboxd.com/film/priscilla/
Saltburn,2023,No llegó la merluza pero tengo Loretta Preska,https://letterboxd.com/film/saltburn/
La sociedad de la nieve,2023,En la boca llevarás sabor a mí,https://letterboxd.com/film/society-of-the-snow/
Poor Things,2023,134: El griego que usa el 6mm mejor que los de MDQ,https://letterboxd.com/film/poor-things-2023/
Ferrari,2023,135: Te la acordás como si hubieras estado en un accidente,https://letterboxd.com/film/ferrari-2023/
American Fiction,2023,136: Yo de bebé me ponía el chupete corte fierro en la cintura,https://letterboxd.com/film/american-fiction/
Aquaman and the Lost Kingdom,2023,137: Nadie conoce a un hincha de Vélez feat El Negro Martí,https://letterboxd.com/film/aquaman-and-the-lost-kingdom/
The Zone of Interest,2023,138: Debe tener la plata con intereses en Mercadopago,https://letterboxd.com/film/the-zone-of-interest/
Coup de Chance,2023,139: Tiene una estrella en el póster y una estrella en la guía Maltin,https://letterboxd.com/film/coup-de-chance/
The Palace,2023,139: Tiene una estrella en el póster y una estrella en la guía Maltin,https://letterboxd.com/film/the-palace-2023/
Jaque Mate,2024,140: No te lo va a tomar ninguna prepaga,https://letterboxd.com/film/jaque-mate/
Drive-Away Dolls,2024,141: Los filmbros tomaron posesión del control remoto en una casa sin novia,https://letterboxd.com/film/drive-away-dolls/
Madame Web,2024,142: Tres personas que no saben opinan de salud mental,https://letterboxd.com/film/madame-web/
El viento que arrasa,2023,143: Le estás pidiendo empatía a un actor,https://letterboxd.com/film/a-ravaging-wind/
Los colonos,2023,144: Ella aprendió feminismo de Bizarrap,https://letterboxd.com/film/the-settlers-2023/
Femme,2023,145: Lo mas cercano que estaba de Jim Morrison era ahogarse en una bañadera,https://letterboxd.com/film/femme-2023/
Immaculate,2024,"146: Vas y el verdulero te dice ""no es temporada de papayas""",https://letterboxd.com/film/immaculate-2024/
Late Night with the Devil,2023,"147: ""Podés, pero un poquito"", le dijo el doctor Cahe",https://letterboxd.com/film/late-night-with-the-devil/
Whisky,2004,148: El capítulo más largo de la historia de Hoy Trasnoche feat Pablo Stoll,https://letterboxd.com/film/whisky/
El Ciudadano Modelo,2024,"149: Esta es una bolsa con mierda, esta es una película mala",https://letterboxd.com/film/el-ciudadano-modelo/
El kiosco,2019,"149: Esta es una bolsa con mierda, esta es una película mala",https://letterboxd.com/film/drugstore/
Godzilla Minus One,2023,"150: No me podría chupar más un huevo, pero contame",https://letterboxd.com/film/godzilla-minus-one/
La mesita del comedor,2022,151: Mamá siente cosas en la entrepierna por Kevin Costner,https://letterboxd.com/film/the-coffee-table/
Tarot,2024,152: Hemos llegado a un nivel de profundidad impensado,https://letterboxd.com/film/tarot-2024/
Después de un buen día,2024,153: La droga te hace confundir mucho el uno con el dos feat. Néstor Frenkel,https://letterboxd.com/film/despues-de-un-buen-dia/
Under Paris,2024,154: Cómo puede ser que tardes una hora en mostrar el tiburón,https://letterboxd.com/film/under-paris/
I Used to Be Funny,2023,155: Correte que no están hablando de vos ni van a hablar nunca,https://letterboxd.com/film/i-used-to-be-funny/
The Beast,2023,"156: Me decís """"dejar su marca"""" y pienso en una frenada en un indodo",https://letterboxd.com/film/the-beast-2023-1/
The Watchers,2024,"157: Alguien vio a un hada y dijo ""esto se puede coger""",https://letterboxd.com/film/the-watchers-2024/
The Bikeriders,2023,158: Si te hace bullying alguien con voz de ardilla es bullying igual,https://letterboxd.com/film/the-bikeriders/
Horizon: An American Saga – Chapter 1,2024,159: Pasto que pisa este Ford no hay chivo que se lo coma,https://letterboxd.com/film/horizon-an-american-saga-chapter-1/
Thelma,2024,160: Once paquetes de yerba con camisetitas de fútbol,https://letterboxd.com/film/thelma-2024/
Deadpool & Wolverine,2024,161: Es como ponerle nenes en shortcito enfrente a un cura feat. el Negro Martí,https://letterboxd.com/film/deadpool-wolverine/
MaXXXine,2024,162: A Zaslav lo tienen que sacar como a Ceausescu de Rumania,https://letterboxd.com/film/maxxxine/
El escuerzo,2023,163: Hace videos de vida minimalista en YouTube y de las cosas que tenés que comprar para poder vivirla feat Augusto Sinay,https://letterboxd.com/film/the-horned-frog/
Kinds of Kindness,2024,164: Parece el póster de una de esas de Bruce Willis antes de que nos cuenten lo que le estaba pasando,https://letterboxd.com/film/kinds-of-kindness/
Longlegs,2024,165: Falta que se le muera la madre y que diga que es Bambi,https://letterboxd.com/film/longlegs/
The Deliverance,2024,166: Es como que el creador de Peaky Blinders diga que está en contra de las barberías,https://letterboxd.com/film/the-deliverance-2024/
