pelicula,pelicula_año,episodio,link_letterboxd
To All the Boys I've Loved Before,2018,24: El capítulo videoclub (Vol. 2),https://letterboxd.com/film/to-all-the-boys-ive-loved-before/
Heavy Trip,2018,24: El capítulo videoclub (Vol. 2),https://letterboxd.com/film/heavy-trip/
The Death of Stalin,2017,24: El capítulo videoclub (Vol. 2),https://letterboxd.com/film/the-death-of-stalin/
Unsane,2018,24: El capítulo videoclub (Vol. 2),https://letterboxd.com/film/unsane/
The Meg,2018,24: El capítulo videoclub (Vol. 2),https://letterboxd.com/film/the-meg/
Everybody Knows,2018,Monjas chanchitas,https://letterboxd.com/film/everybody-knows/
The Nun,2018,Monjas chanchitas,https://letterboxd.com/film/the-nun-2018/
Summer of 84,2018,25: Ayer Trasnoche: 1984,https://letterboxd.com/film/summer-of-84/
Soledad,2018,26: Tradi,https://letterboxd.com/film/soledad-2018/
Mandy,2018,"27: John y Nico, Nico y John",https://letterboxd.com/film/mandy-2018/
A Star Is Born,2018,28: Pequeño pero mayor,https://letterboxd.com/film/a-star-is-born-2018/
El Potro: lo mejor del amor,2018,28: Pequeño pero mayor,https://letterboxd.com/film/el-potro-unstoppable/
Hold the Dark,2018,29: Casi Bruce Lee,https://letterboxd.com/film/hold-the-dark/
Sorry to Bother You,2018,29: Casi Bruce Lee,https://letterboxd.com/film/sorry-to-bother-you/
Halloween,2018,Halloween,https://letterboxd.com/film/halloween-2018/
Bohemian Rhapsody,2018,Hoy Bulsara,https://letterboxd.com/film/bohemian-rhapsody/
BlacKkKlansman,2018,Nazis malos,https://letterboxd.com/film/blackkklansman/
The Other Side of the Wind,2018,Por vía alternativa,https://letterboxd.com/film/the-other-side-of-the-wind/
The Ballad of Buster Scruggs,2018,Por vía alternativa,https://letterboxd.com/film/the-ballad-of-buster-scruggs/
First Man,2018,La luna no es una estrella,https://letterboxd.com/film/first-man/
Suspiria,2018,Espiritismo,https://letterboxd.com/film/suspiria-2018/
The Favourite,2018,Ese premio se hizo caca,https://letterboxd.com/film/the-favourite/
Green Book,2018,Jugo cadavérico,https://letterboxd.com/film/green-book/
Border,2018,Hoy Trastorrent,https://letterboxd.com/film/border-2018/
Leaving Neverland,2019,Hoy Trastorrent,https://letterboxd.com/film/leaving-neverland/
Lords of Chaos,2018,Hoy Trastorrent,https://letterboxd.com/film/lords-of-chaos/
Us,2019,A veces la tía Marta hace cosas horrorosas,https://letterboxd.com/film/us-2019/
The Dirt,2019,¿Y esta poronga?,https://letterboxd.com/film/the-dirt/
Dragged Across Concrete,2018,¿Y esta poronga?,https://letterboxd.com/film/dragged-across-concrete/
4x4,2019,"No es un bigote de Hitler, es caca",https://letterboxd.com/film/4x4/
Vox Lux,2018,"No es un bigote de Hitler, es caca",https://letterboxd.com/film/vox-lux/
They Shall Not Grow Old,2018,"No es un bigote de Hitler, es caca",https://letterboxd.com/film/they-shall-not-grow-old/
El hijo,2019,¡No puedo creer que no sea una venérea!,https://letterboxd.com/film/the-son-2019/
"Muere, monstruo, muere",2018,Muere Marvel Muere,https://letterboxd.com/film/murder-me-monster/
El cuento de las comadrejas,2019,10050 Cielo Drive,https://letterboxd.com/film/the-weasels-tale/
"Extremely Wicked, Shockingly Evil and Vile",2019,El bordado,https://letterboxd.com/film/extremely-wicked-shockingly-evil-and-vile/
Rocketman,2019,Raining Blood: El musical,https://letterboxd.com/film/rocketman-2019/
Ma,2019,Raining Blood: El musical,https://letterboxd.com/film/ma-2019/
Parchís: the Documentary,2019,Un kilo de berenjenas y un BB Sanzo,https://letterboxd.com/film/parchis-the-documentary/
mid90s,2018,Rompieron mi infancia,https://letterboxd.com/film/mid90s/
The Lion King,2019,Rompieron mi infancia,https://letterboxd.com/film/the-lion-king-2019/
Crawl,2019,Ojalá se te muera un hijo en Navidad,https://letterboxd.com/film/crawl-2019/
La Mary,1974,Ojalá se te muera un hijo en Navidad,https://letterboxd.com/film/la-mary/
Dogman,2018,Oggi a tarda notte,https://letterboxd.com/film/dogman-2018/
Booksmart,2019,Falopa mala mala falopa,https://letterboxd.com/film/booksmart/
Once Upon a Time… in Hollywood,2019,Había una vez... PORONGA,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Greta,2018,No sé si nos va a entrar todo,https://letterboxd.com/film/greta-2018/
It Chapter Two,2019,Muertos sin vida,https://letterboxd.com/film/it-chapter-two/
The Clowns,2019,Muertos sin vida,https://letterboxd.com/film/the-clowns-2019/
Teen Spirit,2018,Muertos sin vida,https://letterboxd.com/film/teen-spirit-2018/
High Life,2018,Muertos sin vida,https://letterboxd.com/film/high-life-2018/
Claudia,2019,Especial de Navidad con Sebastián De Caro,https://letterboxd.com/film/claudia-2019/
Ad Astra,2019,A dos toses,https://letterboxd.com/film/ad-astra-2019/
Initials S.G.,2019,A dos toses,https://letterboxd.com/film/initials-sg/
Midsommar,2019,Al principio es rica pero después te mata,https://letterboxd.com/film/midsommar/
Joker,2019,Straight Outta Gotham,https://letterboxd.com/film/joker-2019/
Joker,2019,Antes del trasnochecer,https://letterboxd.com/film/joker-2019/
Rambo: Last Blood,2019,Antes del trasnochecer,https://letterboxd.com/film/rambo-last-blood/
Monos,2019,Antes del trasnochecer,https://letterboxd.com/film/monos/
Parasite,2019,Es tan cierto que es verdad,https://letterboxd.com/film/parasite-2019/
Zombieland: Double Tap,2019,Hoy Poronga Vol. 2,https://letterboxd.com/film/zombieland-double-tap/
The Laundromat,2019,Hoy Poronga Vol. 2,https://letterboxd.com/film/the-laundromat-2019/
Terminator: Dark Fate,2019,Jorge Corona negro,https://letterboxd.com/film/terminator-dark-fate/
Dolemite Is My Name,2019,Jorge Corona negro,https://letterboxd.com/film/dolemite-is-my-name/
The Irishman,2019,"Qué lindo que es el cine, la concha de mi madre",https://letterboxd.com/film/the-irishman-2019/
La casa en la playa,2019,La gente pide poronga seguido,https://letterboxd.com/film/la-casa-en-la-playa/
Marriage Story,2019,Qué suerte que mi mamá murió y no tiene que escuchar esto,https://letterboxd.com/film/marriage-story-2019/
Knives Out,2019,Qué suerte que mi mamá murió y no tiene que escuchar esto,https://letterboxd.com/film/knives-out-2019/
